Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт,Опорный кадр,Текущая секунда
1038,1712879426.67847,1920,1080,60,h264,3030001.8141280627,True,1023.9061117172241
1039,1712879426.690816,1920,1080,60,h264,3030725.453219696,False,1024.646873474121
1040,1712879426.712519,1920,1080,60,h264,3029789.1816312256,True,1025.9490537643433
1041,1712879426.724575,1920,1080,60,h264,3030562.880494578,False,1026.672420501709
1042,1712879426.745826,1920,1080,60,h264,3029708.5967539456,True,1027.9474782943726
1043,1712879426.772654,1920,1080,60,h264,3027871.994954964,False,1029.5571613311768
1044,1712879426.780447,1920,1080,60,h264,3029396.444510959,True,1030.0247383117676
1045,1712879426.791411,1920,1080,60,h264,3030360.0204899227,False,1030.6825733184814
1046,1712879426.812743,1920,1080,60,h264,3029495.0287451516,True,1031.9624948501587
1047,1712879426.8291059,1920,1080,60,h264,3029506.359024861,False,1032.9442691802979
1048,1712879426.8513741,1920,1080,60,h264,3028479.8167402204,True,1034.280366897583
1049,1712879426.865191,1920,1080,60,h264,3028939.037696144,False,1035.1093769073486
1050,1712879426.8785548,1920,1080,60,h264,3029477.007479504,True,1035.9112071990967
1051,1712879426.888878,1920,1080,60,h264,3030547.4385216157,False,1036.5306043624878
1052,1712879426.921796,1920,1080,60,h264,3027659.0717181084,True,1038.5056829452515
1053,1712879426.9310122,1920,1080,60,h264,3028921.557618499,False,1039.0586471557617
1054,1712879426.947096,1920,1080,60,h264,3028982.09621976,True,1040.023684501648
1055,1712879426.973189,1920,1080,60,h264,3027296.0852707014,False,1041.58926486969
1056,1712879426.982541,1920,1080,60,h264,3028531.332424131,True,1042.1503829956055
1057,1712879427.0036328,1920,1080,60,h264,3027719.9317182438,False,1043.4158849716187
1058,1712879427.016002,1920,1080,60,h264,3028427.644140344,True,1044.158034324646
1059,1712879427.032166,1920,1080,60,h264,3028474.415479476,False,1045.127878189087
1060,1712879427.043479,1920,1080,60,h264,3029363.9901561737,True,1045.806655883789
1061,1712879427.068371,1920,1080,60,h264,3027895.024132138,False,1047.300181388855
1062,1712879427.080818,1920,1080,60,h264,3028586.5133316233,True,1048.0469942092896
1063,1712879427.107011,1920,1080,60,h264,3026896.6539732157,False,1049.618582725525
1064,1712879427.120987,1920,1080,60,h264,3027322.920968213,True,1050.4571342468262
1065,1712879427.128774,1920,1080,60,h264,3028818.328453063,False,1050.9243535995483
1066,1712879427.1410692,1920,1080,60,h264,3029532.9876708533,True,1051.6620683670044
1067,1712879427.162951,1920,1080,60,h264,3028591.353226467,False,1052.9749774932861
1068,1712879427.175912,1920,1080,60,h264,3029189.962272418,True,1053.7526321411133
1069,1712879427.195057,1920,1080,60,h264,3028722.0050735157,False,1054.9013328552246
1070,1712879427.2069771,1920,1080,60,h264,3029498.615852472,True,1055.616545677185
1071,1712879427.235584,1920,1080,60,h264,3027404.7737027663,False,1057.3329591751099
1072,1712879427.242653,1920,1080,60,h264,3029013.8044729955,True,1057.7570915222168
1073,1712879427.269171,1920,1080,60,h264,3027283.0811183085,False,1059.348177909851
1074,1712879427.276891,1920,1080,60,h264,3028777.4485826204,True,1059.8113775253296
1075,1712879427.312175,1920,1080,60,h264,3025551.179615093,False,1061.9284200668335
1076,1712879427.320993,1920,1080,60,h264,3026854.988490569,True,1062.4574947357178
1077,1712879427.323189,1920,1080,60,h264,3029289.750756594,False,1062.589259147644
1078,1712879427.341888,1920,1080,60,h264,3028901.7838380774,True,1063.7111949920654
1079,1712879427.364107,1920,1080,60,h264,3027914.0731211836,False,1065.0443315505981
1080,1712879427.385993,1920,1080,60,h264,3026985.5180299063,True,1066.3574981689453
1081,1712879427.39649,1920,1080,60,h264,3027997.255498541,False,1066.9873237609863
1082,1712879427.408114,1920,1080,60,h264,3028816.0019805413,True,1067.6847553253174
1083,1712879427.43712,1920,1080,60,h264,3026679.109016813,False,1069.4251155853271
1084,1712879427.44084,1920,1080,60,h264,3028839.090942678,True,1069.6483182907104
1085,1712879427.468638,1920,1080,60,h264,3026910.8602522593,False,1071.3161945343018
1086,1712879427.482107,1920,1080,60,h264,3027414.3650506795,True,1072.1243333816528
1087,1712879427.497028,1920,1080,60,h264,3027671.235289319,False,1073.0196046829224
1088,1712879427.50887,1920,1080,60,h264,3028448.7156662513,True,1073.7301111221313
1089,1712879427.532704,1920,1080,60,h264,3027197.8691708073,False,1075.1601648330688
1090,1712879427.549145,1920,1080,60,h264,3027197.6817398276,True,1076.14661693573
1091,1712879427.58126,1920,1080,60,h264,3024556.7486202535,False,1078.0735158920288
1092,1712879427.5857122,1920,1080,60,h264,3026576.539793906,True,1078.3406496047974
1093,1712879427.600276,1920,1080,60,h264,3026892.7669030107,False,1079.2144775390625
1094,1712879427.617432,1920,1080,60,h264,3026772.6080332263,True,1080.243844985962
1095,1712879427.63109,1920,1080,60,h264,3027240.3319769623,False,1081.063313484192
1096,1712879427.6419232,1920,1080,60,h264,3028181.700154905,True,1081.713309288025
1097,1712879427.672816,1920,1080,60,h264,3025757.3314863313,False,1083.5668802261353
1098,1712879427.679115,1920,1080,60,h264,3027457.0728513096,True,1083.944821357727
1099,1712879427.6972318,1920,1080,60,h264,3027176.094754934,False,1085.0318241119385
1100,1712879427.7153358,1920,1080,60,h264,3026897.7920143567,True,1086.1180686950684
1101,1712879427.728729,1920,1080,60,h264,3027407.1201165346,False,1086.9216585159302
1102,1712879427.739541,1920,1080,60,h264,3028346.8629159764,True,1087.5703811645508
1103,1712879427.7655082,1920,1080,60,h264,3026756.3590099844,False,1089.1284084320068
1104,1712879427.7809138,1920,1080,60,h264,3026929.0425457885,True,1090.0527477264404
1105,1712879427.791594,1920,1080,60,h264,3027888.332878793,False,1090.6935596466064
1106,1712879427.81241,1920,1080,60,h264,3027159.5918224044,True,1091.9425249099731
1107,1712879427.8586628,1920,1080,60,h264,3022213.221337931,False,1094.7176885604858
1108,1712879427.861828,1920,1080,60,h264,3024416.1663767286,True,1094.907603263855
1109,1712879427.8644412,1920,1080,60,h264,3026709.9162151795,False,1095.0643873214722
1110,1712879427.880979,1920,1080,60,h264,3026694.093660841,True,1096.056661605835
1111,1712879427.891187,1920,1080,60,h264,3027726.5054207398,False,1096.669135093689
1112,1712879427.920081,1920,1080,60,h264,3025666.2463630284,True,1098.402771949768
1113,1712879427.9237041,1920,1080,60,h264,3027785.468160316,False,1098.6201667785645
