Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео
90,0.04032397270202637,960,540,25.0,h264,3036.6796875,2024-04-13 07:55:07
91,0.04000115394592285,960,540,25.0,h264,489.6982421875,2024-04-13 07:55:07
92,0.07439684867858887,960,540,25.0,h264,2548.6220703125,2024-04-13 07:55:07
93,0.07851696014404297,960,540,25.0,h264,3037.5,2024-04-13 07:55:07
94,0.07632303237915039,960,540,25.0,h264,3037.4931640625,2024-04-13 07:55:07
95,0.04378700256347656,960,540,25.0,h264,1518.75,2024-04-13 07:55:07
96,0.050621986389160156,960,540,25.0,h264,1518.75,2024-04-13 07:55:07
97,0.06633591651916504,960,540,25.0,h264,3037.5,2024-04-13 07:55:07
98,0.042654991149902344,960,540,25.0,h264,1518.75,2024-04-13 07:55:07
99,0.042402029037475586,960,540,25.0,h264,1518.75,2024-04-13 07:55:07
100,0.07283592224121094,960,540,25.0,h264,3037.5,2024-04-13 07:55:08
101,0.052247047424316406,960,540,25.0,h264,1518.75,2024-04-13 07:55:08
102,0.06666326522827148,960,540,25.0,h264,3037.5,2024-04-13 07:55:08
103,0.04713869094848633,960,540,25.0,h264,1518.75,2024-04-13 07:55:08
104,0.07775521278381348,960,540,25.0,h264,3037.5029296875,2024-04-13 07:55:08
105,0.04340195655822754,960,540,25.0,h264,1518.75390625,2024-04-13 07:55:08
106,0.04000091552734375,960,540,25.0,h264,1611.85546875,2024-04-13 07:55:08
107,0.07608509063720703,960,540,25.0,h264,2944.390625,2024-04-13 07:55:08
108,0.0400090217590332,960,540,25.0,h264,2239.908203125,2024-04-13 07:55:08
109,0.051011085510253906,960,540,25.0,h264,797.705078125,2024-04-13 07:55:08
110,0.06857872009277344,960,540,25.0,h264,3037.3525390625,2024-04-13 07:55:08
111,0.04000115394592285,960,540,25.0,h264,1968.123046875,2024-04-13 07:55:08
112,0.04139208793640137,960,540,25.0,h264,1070.3017578125,2024-04-13 07:55:08
113,0.044000864028930664,960,540,25.0,h264,1517.9658203125,2024-04-13 07:55:08
114,0.07733297348022461,960,540,25.0,h264,3037.5107421875,2024-04-13 07:55:08
115,0.04000282287597656,960,540,25.0,h264,1522.3173828125,2024-04-13 07:55:08
116,0.04012417793273926,960,540,25.0,h264,3032.9990234375,2024-04-13 07:55:08
117,0.04116010665893555,960,540,25.0,h264,1.70703125,2024-04-13 07:55:08
118,0.08388090133666992,960,540,25.0,h264,3037.5,2024-04-13 07:55:08
119,0.06669998168945312,960,540,25.0,h264,3037.0146484375,2024-04-13 07:55:09
120,0.042585134506225586,960,540,25.0,h264,1519.30859375,2024-04-13 07:55:09
121,0.057183027267456055,960,540,25.0,h264,1517.7607421875,2024-04-13 07:55:09
122,0.0632779598236084,960,540,25.0,h264,3038.4892578125,2024-04-13 07:55:09
123,0.04463386535644531,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
124,0.04290199279785156,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
125,0.07856106758117676,960,540,25.0,h264,3037.5,2024-04-13 07:55:09
126,0.0752260684967041,960,540,25.0,h264,3036.5107421875,2024-04-13 07:55:09
127,0.042421817779541016,960,540,25.0,h264,1519.7392578125,2024-04-13 07:55:09
128,0.04056525230407715,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
129,0.04060697555541992,960,540,25.0,h264,1518.673828125,2024-04-13 07:55:09
130,0.044203758239746094,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
131,0.07626104354858398,960,540,25.0,h264,3037.5,2024-04-13 07:55:09
132,0.0784902572631836,960,540,25.0,h264,3036.5869140625,2024-04-13 07:55:09
133,0.07620978355407715,960,540,25.0,h264,3037.5,2024-04-13 07:55:09
134,0.04251718521118164,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
135,0.041378021240234375,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
136,0.042128801345825195,960,540,25.0,h264,1518.75,2024-04-13 07:55:09
137,0.07857894897460938,960,540,25.0,h264,3038.408203125,2024-04-13 07:55:10
138,0.08552408218383789,960,540,25.0,h264,3036.591796875,2024-04-13 07:55:10
139,0.07493209838867188,960,540,25.0,h264,3037.5,2024-04-13 07:55:10
140,0.07660388946533203,960,540,25.0,h264,3038.408203125,2024-04-13 07:55:10
141,0.04101705551147461,960,540,25.0,h264,1518.75,2024-04-13 07:55:10
142,0.04000115394592285,960,540,25.0,h264,1575.06640625,2024-04-13 07:55:10
143,0.04445981979370117,960,540,25.0,h264,1461.5283203125,2024-04-13 07:55:10
144,0.04000091552734375,960,540,25.0,h264,2310.8759765625,2024-04-13 07:55:10
145,0.0762941837310791,960,540,25.0,h264,2245.376953125,2024-04-13 07:55:10
146,0.04162192344665527,960,540,25.0,h264,1519.6416015625,2024-04-13 07:55:10
147,0.041934967041015625,960,540,25.0,h264,1518.75,2024-04-13 07:55:10
148,0.04000091552734375,960,540,25.0,h264,2490.248046875,2024-04-13 07:55:10
149,0.07611417770385742,960,540,25.0,h264,2066.154296875,2024-04-13 07:55:10
150,0.08321785926818848,960,540,25.0,h264,3037.5,2024-04-13 07:55:10
151,0.07094621658325195,960,540,25.0,h264,3037.5,2024-04-13 07:55:10
152,0.042810916900634766,960,540,25.0,h264,1518.75,2024-04-13 07:55:10
153,0.0417330265045166,960,540,25.0,h264,1518.5849609375,2024-04-13 07:55:10
154,0.04541182518005371,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
155,0.07372117042541504,960,540,25.0,h264,3037.525390625,2024-04-13 07:55:11
156,0.04279971122741699,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
157,0.04084420204162598,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
158,0.07407188415527344,960,540,25.0,h264,3036.5849609375,2024-04-13 07:55:11
159,0.0447392463684082,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
160,0.0428919792175293,960,540,25.0,h264,1519.640625,2024-04-13 07:55:11
161,0.04000091552734375,960,540,25.0,h264,1662.4169921875,2024-04-13 07:55:11
162,0.07596397399902344,960,540,25.0,h264,2892.939453125,2024-04-13 07:55:11
163,0.04154801368713379,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
164,0.04293203353881836,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
165,0.07720184326171875,960,540,25.0,h264,3037.5,2024-04-13 07:55:11
166,0.08101701736450195,960,540,25.0,h264,3037.5,2024-04-13 07:55:11
167,0.04145503044128418,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
168,0.07138919830322266,960,540,25.0,h264,3037.5,2024-04-13 07:55:11
169,0.0433809757232666,960,540,25.0,h264,1518.642578125,2024-04-13 07:55:11
170,0.043974876403808594,960,540,25.0,h264,1518.75,2024-04-13 07:55:11
171,0.07299089431762695,960,540,25.0,h264,3037.5,2024-04-13 07:55:11
172,0.0431210994720459,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
173,0.04522204399108887,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
174,0.07641172409057617,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
175,0.04370427131652832,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
176,0.07788801193237305,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
177,0.04855489730834961,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
178,0.06633114814758301,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
179,0.04617190361022949,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
180,0.040943145751953125,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
181,0.07403182983398438,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
182,0.04000091552734375,960,540,25.0,h264,2660.2646484375,2024-04-13 07:55:12
183,0.09049820899963379,960,540,25.0,h264,1895.9853515625,2024-04-13 07:55:12
184,0.07426095008850098,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
185,0.07126092910766602,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
186,0.041954994201660156,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
187,0.05467391014099121,960,540,25.0,h264,1518.75,2024-04-13 07:55:12
188,0.06476593017578125,960,540,25.0,h264,3037.5,2024-04-13 07:55:12
189,0.04425215721130371,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
190,0.0768280029296875,960,540,25.0,h264,3037.5,2024-04-13 07:55:13
191,0.046816110610961914,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
192,0.08282208442687988,960,540,25.0,h264,3037.5,2024-04-13 07:55:13
193,0.07972383499145508,960,540,25.0,h264,3037.5,2024-04-13 07:55:13
194,0.04000091552734375,960,540,25.0,h264,2010.5595703125,2024-04-13 07:55:13
195,0.040006160736083984,960,540,25.0,h264,1971.328125,2024-04-13 07:55:13
196,0.0712137222290039,960,540,25.0,h264,2093.1123046875,2024-04-13 07:55:13
197,0.04546928405761719,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
198,0.07393479347229004,960,540,25.0,h264,3037.5,2024-04-13 07:55:13
199,0.05228900909423828,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
200,0.06615710258483887,960,540,25.0,h264,3037.5,2024-04-13 07:55:13
201,0.04170107841491699,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
202,0.0416569709777832,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
203,0.0463099479675293,960,540,25.0,h264,1518.75,2024-04-13 07:55:13
204,0.04016399383544922,960,540,25.0,h264,3036.8212890625,2024-04-13 07:55:13
205,0.040010929107666016,960,540,25.0,h264,229.6259765625,2024-04-13 07:55:13
206,0.07568907737731934,960,540,25.0,h264,2808.552734375,2024-04-13 07:55:13
207,0.04547595977783203,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
208,0.040116071701049805,960,540,25.0,h264,3036.8212890625,2024-04-13 07:55:14
209,0.04000091552734375,960,540,25.0,h264,658.0361328125,2024-04-13 07:55:14
210,0.04025125503540039,960,540,25.0,h264,2379.4638671875,2024-04-13 07:55:14
211,0.07419490814208984,960,540,25.0,h264,1519.4287109375,2024-04-13 07:55:14
212,0.042732954025268555,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
213,0.0715939998626709,960,540,25.0,h264,3037.5,2024-04-13 07:55:14
214,0.04256391525268555,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
215,0.046122074127197266,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
216,0.07346916198730469,960,540,25.0,h264,3037.5,2024-04-13 07:55:14
217,0.04260873794555664,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
218,0.041075944900512695,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
219,0.07892990112304688,960,540,25.0,h264,3037.5,2024-04-13 07:55:14
220,0.04211616516113281,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
221,0.07565593719482422,960,540,25.0,h264,3037.5,2024-04-13 07:55:14
222,0.046845197677612305,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
223,0.04049491882324219,960,540,25.0,h264,3036.8212890625,2024-04-13 07:55:14
224,0.07280898094177246,960,540,25.0,h264,1519.4287109375,2024-04-13 07:55:14
225,0.043306827545166016,960,540,25.0,h264,1518.75,2024-04-13 07:55:14
226,0.040000200271606445,960,540,25.0,h264,1657.8525390625,2024-04-13 07:55:15
227,0.04000091552734375,960,540,25.0,h264,1459.640625,2024-04-13 07:55:15
228,0.04141688346862793,960,540,25.0,h264,1438.7568359375,2024-04-13 07:55:15
229,0.0736851692199707,960,540,25.0,h264,3037.5,2024-04-13 07:55:15
230,0.04124093055725098,960,540,25.0,h264,1518.75,2024-04-13 07:55:15
231,0.044895172119140625,960,540,25.0,h264,1518.75,2024-04-13 07:55:15
232,0.07522773742675781,960,540,25.0,h264,3037.5,2024-04-13 07:55:15
233,0.043389320373535156,960,540,25.0,h264,1518.75,2024-04-13 07:55:15
234,0.043260812759399414,960,540,25.0,h264,1518.75,2024-04-13 07:55:15
235,0.07844710350036621,960,540,25.0,h264,3037.5,2024-04-13 07:55:15
236,0.040193796157836914,960,540,25.0,h264,3036.818359375,2024-04-13 07:55:15
237,0.04000115394592285,960,540,25.0,h264,795.3671875,2024-04-13 07:55:15
238,0.04000091552734375,960,540,25.0,h264,840.6640625,2024-04-13 07:55:15
239,0.04000091552734375,960,540,25.0,h264,1465.271484375,2024-04-13 07:55:15
240,0.04018115997314453,960,540,25.0,h264,1455.62890625,2024-04-13 07:55:15
241,0.07657384872436523,960,540,25.0,h264,3037.5,2024-04-13 07:55:15
242,0.045789241790771484,960,540,25.0,h264,1518.75,2024-04-13 07:55:15
243,0.08126282691955566,960,540,25.0,h264,3037.5,2024-04-13 07:55:15
244,0.07716012001037598,960,540,25.0,h264,3037.5,2024-04-13 07:55:15
245,0.07990312576293945,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
246,0.07302188873291016,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
247,0.04159283638000488,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
248,0.04221320152282715,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
249,0.043837785720825195,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
250,0.07490992546081543,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
251,0.044158220291137695,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
252,0.044716835021972656,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
253,0.06800413131713867,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
254,0.04141688346862793,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
255,0.04340505599975586,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
256,0.04294300079345703,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
257,0.08343815803527832,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
258,0.06679081916809082,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
259,0.05213594436645508,960,540,25.0,h264,1518.75,2024-04-13 07:55:16
260,0.040003061294555664,960,540,25.0,h264,2462.9423828125,2024-04-13 07:55:16
261,0.050820112228393555,960,540,25.0,h264,574.5576171875,2024-04-13 07:55:16
262,0.07083797454833984,960,540,25.0,h264,3037.5,2024-04-13 07:55:16
263,0.06990194320678711,960,540,25.0,h264,3037.4990234375,2024-04-13 07:55:17
264,0.045020103454589844,960,540,25.0,h264,1518.75,2024-04-13 07:55:17
265,0.08456993103027344,960,540,25.0,h264,3037.619140625,2024-04-13 07:55:17
266,0.08257722854614258,960,540,25.0,h264,3037.630859375,2024-04-13 07:55:17
267,0.07027196884155273,960,540,25.0,h264,3037.3623046875,2024-04-13 07:55:17
268,0.04383587837219238,960,540,25.0,h264,1519.6455078125,2024-04-13 07:55:17
269,0.07669591903686523,960,540,25.0,h264,3036.7333984375,2024-04-13 07:55:17
270,0.04208707809448242,960,540,25.0,h264,1518.7412109375,2024-04-13 07:55:17
271,0.08287692070007324,960,540,25.0,h264,3038.2724609375,2024-04-13 07:55:17
272,0.07834219932556152,960,540,25.0,h264,3036.5,2024-04-13 07:55:17
273,0.08457374572753906,960,540,25.0,h264,3037.5,2024-04-13 07:55:17
274,0.06794190406799316,960,540,25.0,h264,3037.5029296875,2024-04-13 07:55:17
275,0.044001102447509766,960,540,25.0,h264,1518.861328125,2024-04-13 07:55:17
276,0.04600024223327637,960,540,25.0,h264,1518.7587890625,2024-04-13 07:55:17
277,0.08251786231994629,960,540,25.0,h264,3037.5,2024-04-13 07:55:17
278,0.04641890525817871,960,540,25.0,h264,1518.75,2024-04-13 07:55:18
279,0.06272602081298828,960,540,25.0,h264,3037.5146484375,2024-04-13 07:55:18
280,0.051171064376831055,960,540,25.0,h264,1519.623046875,2024-04-13 07:55:18
281,0.07075881958007812,960,540,25.0,h264,3036.5380859375,2024-04-13 07:55:18
282,0.04087424278259277,960,540,25.0,h264,1518.703125,2024-04-13 07:55:18
283,0.04232192039489746,960,540,25.0,h264,1518.75,2024-04-13 07:55:18
284,0.07384800910949707,960,540,25.0,h264,3037.50390625,2024-04-13 07:55:18
285,0.04442310333251953,960,540,25.0,h264,1518.74609375,2024-04-13 07:55:18
286,0.0422818660736084,960,540,25.0,h264,1518.9453125,2024-04-13 07:55:18
287,0.08201003074645996,960,540,25.0,h264,3037.3046875,2024-04-13 07:55:18
288,0.07857108116149902,960,540,25.0,h264,3037.5029296875,2024-04-13 07:55:18
289,0.08479690551757812,960,540,25.0,h264,3037.6630859375,2024-04-13 07:55:18
290,0.06766486167907715,960,540,25.0,h264,3037.33984375,2024-04-13 07:55:18
291,0.0422210693359375,960,540,25.0,h264,1518.904296875,2024-04-13 07:55:18
292,0.041837215423583984,960,540,25.0,h264,1518.75,2024-04-13 07:55:18
293,0.044029951095581055,960,540,25.0,h264,1518.5986328125,2024-04-13 07:55:18
294,0.07852387428283691,960,540,25.0,h264,3037.6513671875,2024-04-13 07:55:18
295,0.08324289321899414,960,540,25.0,h264,3037.4931640625,2024-04-13 07:55:19
296,0.07487010955810547,960,540,25.0,h264,3037.3525390625,2024-04-13 07:55:19
297,0.04237103462219238,960,540,25.0,h264,1518.8994140625,2024-04-13 07:55:19
298,0.04341292381286621,960,540,25.0,h264,1518.75,2024-04-13 07:55:19
299,0.07620620727539062,960,540,25.0,h264,3037.431640625,2024-04-13 07:55:19
300,0.08612298965454102,960,540,25.0,h264,3037.4130859375,2024-04-13 07:55:19
301,0.06761503219604492,960,540,25.0,h264,3037.515625,2024-04-13 07:55:19
302,0.04642081260681152,960,540,25.0,h264,1518.75,2024-04-13 07:55:19
303,0.07411527633666992,960,540,25.0,h264,3037.5,2024-04-13 07:55:19
