Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео,day,month,hour_min,loss,anomaly
5424.0,0.0696330070495605,960.0,540.0,25.0,h264,2977.84375,2024-04-13 12:45:58,13,4,12.75,0.0014962815,False
5425.0,0.0418307781219482,960.0,540.0,25.0,h264,1518.75,2024-04-13 12:45:58,13,4,12.75,0.0010502164,False
5426.0,0.0425882339477539,960.0,540.0,25.0,h264,1519.248046875,2024-04-13 12:45:58,13,4,12.75,0.0010248695,False
5427.0,0.0400009155273437,960.0,540.0,25.0,h264,2482.5283203125,2024-04-13 12:45:58,13,4,12.75,0.0015879113,False
5428.0,0.0400002002716064,960.0,540.0,25.0,h264,1308.6240234375,2024-04-13 12:45:58,13,4,12.75,0.0015224714,False
5429.0,0.0400009155273437,960.0,540.0,25.0,h264,1026.208984375,2024-04-13 12:45:58,13,4,12.75,0.0019501616,False
5430.0,0.0400006771087646,960.0,540.0,25.0,h264,1420.8466796875,2024-04-13 12:45:58,13,4,12.75,0.0012949175,False
5431.0,0.0400002002716064,960.0,540.0,25.0,h264,2193.5048828125,2024-04-13 12:45:58,13,4,12.75,0.0014750138,False
5432.0,0.0459749698638916,960.0,540.0,25.0,h264,680.8535156250002,2024-04-13 12:45:58,13,4,12.75,0.0019311102,False
5433.0,0.074937105178833,960.0,540.0,25.0,h264,3037.458984375,2024-04-13 12:45:58,13,4,12.75,0.0017999758,False
5434.0,0.0400009155273437,960.0,540.0,25.0,h264,2241.2861328125,2024-04-13 12:45:58,13,4,12.75,0.0015198435,False
5435.0,0.0407519340515136,960.0,540.0,25.0,h264,795.9716796875,2024-04-13 12:45:59,13,4,12.75,0.0020090956,False
5436.0,0.0400009155273437,960.0,540.0,25.0,h264,2252.81640625,2024-04-13 12:45:59,13,4,12.75,0.0015264751,False
5437.0,0.0405361652374267,960.0,540.0,25.0,h264,784.68359375,2024-04-13 12:45:59,13,4,12.75,0.0020332737,False
5438.0,0.0400009155273437,960.0,540.0,25.0,h264,2252.2216796875,2024-04-13 12:45:59,13,4,12.75,0.0015300771,False
5439.0,0.0400002002716064,960.0,540.0,25.0,h264,1431.052734375,2024-04-13 12:45:59,13,4,12.75,0.0012898352,False
5440.0,0.0400009155273437,960.0,540.0,25.0,h264,1921.337890625,2024-04-13 12:45:59,13,4,12.75,0.0012435748,False
5441.0,0.0407371520996093,960.0,540.0,25.0,h264,470.2744140625002,2024-04-13 12:45:59,13,4,12.75,0.002415121,False
5442.0,0.0400009155273437,960.0,540.0,25.0,h264,2364.73046875,2024-04-13 12:45:59,13,4,12.75,0.0015226009,False
5443.0,0.0400009155273437,960.0,540.0,25.0,h264,1378.98046875,2024-04-13 12:45:59,13,4,12.75,0.001383546,False
5444.0,0.0400002002716064,960.0,540.0,25.0,h264,1133.7265625,2024-04-13 12:45:59,13,4,12.75,0.0018283746,False
5445.0,0.040001630783081,960.0,540.0,25.0,h264,1383.8115234375,2024-04-13 12:45:59,13,4,12.75,0.0013768484,False
5446.0,0.0400011539459228,960.0,540.0,25.0,h264,2066.66015625,2024-04-13 12:45:59,13,4,12.75,0.001403664,False
5447.0,0.0437269210815429,960.0,540.0,25.0,h264,784.58984375,2024-04-13 12:45:59,13,4,12.75,0.0018593473,False
5448.0,0.0400002002716064,960.0,540.0,25.0,h264,2303.546875,2024-04-13 12:45:59,13,4,12.75,0.0014965152,False
5449.0,0.0400009155273437,960.0,540.0,25.0,h264,1448.5185546875,2024-04-13 12:45:59,13,4,12.75,0.001275548,False
5450.0,0.0400011539459228,960.0,540.0,25.0,h264,2035.52734375,2024-04-13 12:45:59,13,4,12.75,0.0013755774,False
5451.0,0.0400009155273437,960.0,540.0,25.0,h264,1012.5869140625,2024-04-13 12:45:59,13,4,12.75,0.0020014874,False
5452.0,0.0400006771087646,960.0,540.0,25.0,h264,2225.2939453125,2024-04-13 12:45:59,13,4,12.75,0.001532288,False
5453.0,0.0400002002716064,960.0,540.0,25.0,h264,947.8251953125,2024-04-13 12:45:59,13,4,12.75,0.0020505171,False
5454.0,0.0400009155273437,960.0,540.0,25.0,h264,1459.13671875,2024-04-13 12:45:59,13,4,12.75,0.0012660879,False
5455.0,0.0400009155273437,960.0,540.0,25.0,h264,1539.0908203125,2024-04-13 12:45:59,13,4,12.75,0.001166876,False
5456.0,0.09804916381835929,960.0,540.0,25.0,h264,2216.0361328125,2024-04-13 12:45:59,13,4,12.75,0.0023093596,False
5457.0,0.0596652030944824,960.0,540.0,25.0,h264,3037.5,2024-04-13 12:45:59,13,4,12.75,0.0018884612,False
5458.0,0.0400009155273437,960.0,540.0,25.0,h264,2374.248046875,2024-04-13 12:46:00,13,4,12.766666666666667,0.001551104,False
5459.0,0.0400006771087646,960.0,540.0,25.0,h264,1967.7197265625,2024-04-13 12:46:00,13,4,12.766666666666667,0.0013195284,False
5460.0,0.0400002002716064,960.0,540.0,25.0,h264,1243.845703125,2024-04-13 12:46:00,13,4,12.766666666666667,0.0017268588,False
5461.0,0.0400009155273437,960.0,540.0,25.0,h264,1696.341796875,2024-04-13 12:46:00,13,4,12.766666666666667,0.0010792864,False
5462.0,0.0400011539459228,960.0,540.0,25.0,h264,1113.3613281249998,2024-04-13 12:46:00,13,4,12.766666666666667,0.0018851766,False
5463.0,0.0400009155273437,960.0,540.0,25.0,h264,1360.37109375,2024-04-13 12:46:00,13,4,12.766666666666667,0.0014469932,False
5464.0,0.0400009155273437,960.0,540.0,25.0,h264,2352.646484375,2024-04-13 12:46:00,13,4,12.766666666666667,0.0015463314,False
5465.0,0.0400371551513671,960.0,540.0,25.0,h264,41.11328125,2024-04-13 12:46:00,13,4,12.766666666666667,0.004483761,False
5466.0,0.0400009155273437,960.0,540.0,25.0,h264,2429.853515625,2024-04-13 12:46:00,13,4,12.766666666666667,0.0015912657,False
5467.0,0.0400009155273437,960.0,540.0,25.0,h264,1456.7099609375,2024-04-13 12:46:00,13,4,12.766666666666667,0.001286527,False
5468.0,0.0400011539459228,960.0,540.0,25.0,h264,1005.2265625,2024-04-13 12:46:00,13,4,12.766666666666667,0.0020373703,False
