Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Продолжительность видео
324,0.07628989219665527,854,480,25.0,h264,2401.875,12.96
325,0.052596092224121094,854,480,25.0,h264,1200.9375,13.0
326,0.07403802871704102,854,480,25.0,h264,2401.875,13.04
327,0.045658111572265625,854,480,25.0,h264,1200.9375,13.08
328,0.04480266571044922,854,480,25.0,h264,1200.9375,13.12
329,0.06662130355834961,854,480,25.0,h264,2401.8603515625,13.16
330,0.08466792106628418,854,480,25.0,h264,2401.875,13.2
331,0.07901787757873535,854,480,25.0,h264,2401.875,13.24
332,0.07921886444091797,854,480,25.0,h264,2401.875,13.28
333,0.07743120193481445,854,480,25.0,h264,2401.875,13.32
334,0.0815589427947998,854,480,25.0,h264,2399.6845703125,13.36
335,0.04267001152038574,854,480,25.0,h264,1200.9375,13.4
336,0.042855024337768555,854,480,25.0,h264,1200.9375,13.44
337,0.06630706787109375,854,480,25.0,h264,2401.875,13.48
338,0.0523378849029541,854,480,25.0,h264,1200.9375,13.52
339,0.06914901733398438,854,480,25.0,h264,2402.728515625,13.56
340,0.04229283332824707,854,480,25.0,h264,1200.9375,13.6
341,0.08344221115112305,854,480,25.0,h264,2401.875,13.64
342,0.07790017127990723,854,480,25.0,h264,2401.875,13.68
343,0.07643580436706543,854,480,25.0,h264,2401.875,13.72
344,0.0429539680480957,854,480,25.0,h264,1200.9375,13.76
345,0.04301595687866211,854,480,25.0,h264,1200.9375,13.8
346,0.04088020324707031,854,480,25.0,h264,1200.9375,13.84
347,0.07002973556518555,854,480,25.0,h264,2401.875,13.88
348,0.04526519775390625,854,480,25.0,h264,1200.9375,13.92
349,0.04490780830383301,854,480,25.0,h264,1200.9375,13.96
350,0.0731050968170166,854,480,25.0,h264,2401.875,14.0
351,0.05414414405822754,854,480,25.0,h264,1200.9375,14.04
352,0.07048988342285156,854,480,25.0,h264,2401.875,14.08
353,0.041177988052368164,854,480,25.0,h264,1200.9375,14.12
354,0.07426905632019043,854,480,25.0,h264,2401.875,14.16
355,0.04289102554321289,854,480,25.0,h264,1200.9375,14.2
356,0.04391288757324219,854,480,25.0,h264,1200.9375,14.24
357,0.07783389091491699,854,480,25.0,h264,2401.875,14.28
358,0.07649731636047363,854,480,25.0,h264,2401.875,14.32
359,0.04233884811401367,854,480,25.0,h264,1200.9375,14.36
360,0.07843303680419922,854,480,25.0,h264,2401.875,14.4
361,0.04312300682067871,854,480,25.0,h264,1200.9375,14.44
362,0.05189394950866699,854,480,25.0,h264,1200.9375,14.48
363,0.07866096496582031,854,480,25.0,h264,2401.875,14.52
364,0.06645917892456055,854,480,25.0,h264,2401.875,14.56
365,0.042642831802368164,854,480,25.0,h264,1200.9375,14.6
366,0.08399224281311035,854,480,25.0,h264,2401.875,14.64
367,0.07677173614501953,854,480,25.0,h264,2401.875,14.68
